§,FranchiseName,FranchiseLocation,BillingStaffName,BillingTimeStamp,ServeStaffName,ServeTimeStamp,ChefStaffName,ChefTimeStamp,CustomerName,CustomerLoyaltyNumber,CustomerEmail,CustomerMobileNumber,SaleDateTime,PaymentType,CreditCardDetails,OrderType,CarPlateNumber,DeliveryRequired,DeliveryStaffName,DeliveryTimeStamp,TotalBillValue,FoodItemsPurchased,TaxAmount,DeliveryFees,DiscountAmount,AppliedOfferName,CouponName
75,EtaBetaPi_14,Columbus,Lisa Murphy,18:44.6,Mr. Steven Hodges,26:31.9,Paul King,10:54.5,Albert Smith,LOY-2591,sierra39@example.net,228-857-6307,12:30.8,Cash,**** **** **** 8337,Inhouse,,Yes,Kimberly Thompson,29:08.7,252.34,"Veggie Burger, Salad, Fries, Mozzarella Sticks",1.2,10.59,1.13,Family Pack Offer,Coupon-163
76,EtaBetaPi_27,Orlando,Nathan Hernandez,01:03.1,Jessica Maxwell,43:35.5,Kelly Perkins,31:00.1,Joshua Watson,LOY-5654,wesleymcdaniel@example.com,889.825.1860x131,38:07.2,Cash,,Uber Eats,,Yes,Nicole Pittman,,283.01,"Taco, Chicken Sandwich, Fries",33.33,14.36,0.46,,
77,EtaBetaPi_16,Los Angeles,Danielle Luna,29:29.3,Donna Smith,20:29.0,Bryan Sanders,23:39.9,John Bell,LOY-2403,briancastro@example.org,375.296.4822x305,58:12.4,Credit Card,,Drive Through,,No,Kristin Lester,,85.7,"Hot Dog, Pepsi, Milkshake, Coffee",13.31,17.06,27.61,Free Fries with Burger,Coupon-356
78,EtaBetaPi_03,Baltimore,Nicole Chavez,46:25.8,Mr. Steven Hodges,45:27.8,Bobby Tucker,35:00.5,Julia Buchanan,LOY-3123,johnwalker@example.com,747.987.7025x0969,57:26.0,Digital Wallet,,Online,724 IJX,Yes,Nicole Chavez,37:55.0,378.51,"Onion Rings, Pasta, Salad, Pepsi",38.8,0.89,9.46,Free Fries with Burger,Coupon-462
79,EtaBetaPi_08,Seattle,Elizabeth Bennett,27:28.9,Sydney Henderson,25:00.9,Joshua Norton,22:02.8,Taylor Norman,LOY-1978,smurphy@example.org,668.562.5141x7458,50:56.2,Credit Card,,Uber Eats,201-FFIF,Yes,Donna Smith,43:55.8,34.4,"Milkshake, Coffee, Burrito, Ice Cream",15.78,15.38,22.92,Free Fries with Burger,
80,EtaBetaPi_15,New York,Dale Sims,52:19.6,Lisa Murphy,52:42.1,Joshua Fitzpatrick,31:52.1,James Kim,LOY-2001,bwilliams@example.org,5089813979,12:42.1,Credit Card,,Uber Eats,,Yes,Lisa Murphy,,215.45,"Pepsi, Hot Dog, Mozzarella Sticks, Coke",42.99,12.23,18.77,20% Off,Coupon-137
81,EtaBetaPi_16,Chicago,Deanna Wood,19:04.5,Deanna Wood,28:04.8,Alicia Dixon,26:54.3,Karen Johnson,LOY-3148,jpage@example.net,450-321-4464,33:37.6,Digital Wallet,,Inhouse,519412,Yes,Dale Sims,28:02.8,207.05,"Hot Dog, Coke, Pizza",11.33,17.2,24.99,Free Fries with Burger,Coupon-182
82,EtaBetaPi_27,Indianapolis,Kristin Lester,22:24.8,Christopher Sanchez,30:48.2,Mr. Steven Hodges,52:37.1,Christine Foster,LOY-8305,erinbrock@example.org,+1-406-551-6314x5045,58:48.1,Credit Card,**** **** **** 2793,Online,PLK-3880,Yes,Joshua Fitzpatrick,,32.3,"Coke, Chicken Nuggets, Pasta",40.17,10.28,16.53,20% Off,Coupon-414
83,EtaBetaPi_29,San Francisco,Brian Obrien,22:08.9,Randy Schmidt,40:29.0,Cristina Duke,48:15.3,Catherine Pham,LOY-7056,jacqueline01@example.net,722.717.8124x5806,34:37.4,Digital Wallet,,Online,W26 4OM,No,Destiny Barrett,24:37.9,329.26,"Ice Cream, Onion Rings, Taco",1.76,7.2,5.16,,
84,EtaBetaPi_16,Phoenix,Jessica Maxwell,48:28.1,Kimberly Thompson,51:53.4,Seth Pope,44:32.5,Robert Gallegos,LOY-2367,scottkatherine@example.net,308-816-6001x144,54:30.8,Credit Card,,Online,,No,Danielle Luna,38:33.0,148.72,"Cheeseburger, Coke",43.35,13.22,26.61,,Coupon-525
85,EtaBetaPi_25,Dallas,Danielle Luna,39:07.6,Joshua Norton,51:43.8,Eric Nelson,08:37.7,Kayla Peterson,LOY-3540,icook@example.com,+1-265-271-2670x299,16:50.0,Digital Wallet,,Uber Eats,,No,Andrea Vasquez,35:44.8,265.24,"Burrito, Smoothie, Mozzarella Sticks, Milkshake",3.27,4.74,11.71,20% Off,Coupon-534
86,EtaBetaPi_01,Philadelphia,Eric Nelson,14:53.2,Destiny Barrett,34:37.0,Bryan Sanders,59:22.4,Greg Sellers,LOY-1571,aporter@example.org,+1-315-263-8947x7793,27:19.3,Digital Wallet,,Inhouse,,No,Cristina Duke,,240.75,"Salad, Cheeseburger, Pasta",24.78,19.54,21.73,Buy 1 Get 1 Free,Coupon-278
87,EtaBetaPi_29,Indianapolis,Jennifer Oliver,21:55.9,Kelly Perkins,13:11.5,Nicole Chavez,59:27.4,Jessica Brooks,LOY-9802,andreamartin@example.org,592-294-6079,18:13.8,Credit Card,,Online,,No,Seth Pope,,431.71,"Taco, Fries, Cheeseburger",6.96,3.29,29.66,,Coupon-229
88,EtaBetaPi_20,Seattle,Joshua Fitzpatrick,11:49.2,Sue Gillespie,45:06.9,Donna Smith,05:21.8,Tara Taylor,LOY-6722,matthewskyle@example.org,-10174,28:18.9,Credit Card,**** **** **** 7270,Uber Eats,,No,Randy Schmidt,,353.17,"Mozzarella Sticks, Milkshake",14.75,2.29,1.13,Buy 1 Get 1 Free,
89,EtaBetaPi_29,Denver,Joshua Norton,47:27.4,Mallory Patrick,30:45.4,Lisa Murphy,07:14.8,Kevin Wilson,LOY-7056,briancastro@example.org,621.438.5788x3490,14:44.3,Cash,,Online,,No,Ashley Lynch,03:19.7,464.29,"Chicken Sandwich, Salad, Pepsi",17.06,11.5,8.44,Family Pack Offer,
90,EtaBetaPi_HQ,Nashville,Lisa Murphy,21:18.2,Sara Moore MD,25:34.0,Nicole Pittman,42:19.6,Brandy Thornton,LOY-3752,scottkatherine@example.net,819-976-2509,42:35.0,Digital Wallet,**** **** **** 3376,Online,,No,Elizabeth Bennett,,447.98,"Coke, Pizza",13.9,12.27,7.57,Free Fries with Burger,
91,EtaBetaPi_25,Detroit,Mr. Steven Hodges,03:50.1,Sydney Henderson,39:45.3,Dale Sims,16:39.9,Cindy Nichols,LOY-9902,laura13@example.com,001-435-976-0207x3832,49:32.9,Digital Wallet,,Uber Eats,64V N63,Yes,Nicole Chavez,56:02.3,77.27,"Burrito, Milkshake",8.62,7.61,16.38,Family Pack Offer,Coupon-855
92,EtaBetaPi_12,Nashville,Brian Obrien,05:33.5,Alicia Dixon,31:41.8,Elijah Bailey,40:28.6,Virginia Petersen,LOY-3013,james11@example.org,(502)284-9267,51:52.9,Cash,,Uber Eats,,Yes,Elizabeth Bennett,55:01.0,57.09,"Cheeseburger, Veggie Burger",35.3,5.43,17.72,20% Off,
93,EtaBetaPi_17,Orlando,Samuel Parker,34:51.2,Bobby Tucker,38:06.0,Seth Pope,23:04.5,Lauren King,LOY-4965,ochoatammy@example.org,+1-249-860-1527x5720,28:11.2,Digital Wallet,**** **** **** 7390,Uber Eats,,No,Sean Wilson DDS,07:40.5,242.67,Burrito,27.55,7.14,25.1,,Coupon-629
94,EtaBetaPi_27,Atlanta,Nicole Chavez,25:05.5,Jonathan Smith,32:38.4,Benjamin Gardner,41:00.1,Jessica Brooks,,jpage@example.net,001-655-566-7824,51:15.7,Cash,,Inhouse,4HO1847,No,Ricardo Kirk,,485.95,"Mozzarella Sticks, Chicken Nuggets",41.5,19.86,16.84,20% Off,Coupon-664
95,EtaBetaPi_27,Boston,Mr. Steven Hodges,07:54.3,Bobby Tucker,03:06.2,Holly Gordon,35:54.3,Jasmine Hill,LOY-3907,rmarquez@example.com,+1-315-263-8947x7793,54:04.2,Digital Wallet,**** **** **** 7560,Inhouse,E12-OYG,No,Benjamin Gardner,,479.85,"Coffee, Taco, Fish Sandwich",13.7,4.29,22.96,Family Pack Offer,Coupon-622
96,EtaBetaPi_16,Chicago,Cristina Duke,24:58.5,Eric Nelson,49:10.2,Sara Moore MD,42:13.5,Nathaniel Francis,LOY-1477,barbaraanderson@example.com,272-565-7462,58:52.7,Digital Wallet,**** **** **** 3218,Inhouse,,Yes,Joshua Fitzpatrick,47:22.1,178.18,"Cheeseburger, Fish Sandwich, Salad, Veggie Burger",3.06,17.47,28.67,,Coupon-440
97,EtaBetaPi_16,Boston,Randy Schmidt,16:35.0,Dale Sims,56:18.1,Kimberly Thompson,36:55.6,Jason Zimmerman,LOY-3395,gregory50@example.net,335-891-4929x8070,22:24.6,Digital Wallet,,Uber Eats,,Yes,Sara Moore MD,23:27.9,439.98,"Taco, Ice Cream",24.17,5.83,2.6,Buy 1 Get 1 Free,
98,EtaBetaPi_07,Portland,Kelly Perkins,28:30.0,Kelly Perkins,15:02.0,Samuel Parker,32:13.5,Jason Meyer,LOY-5180,barkerjoshua@example.net,4533888492,09:11.0,Cash,**** **** **** 1003,Drive Through,928 JMV,Yes,Brian Obrien,,133.05,Cheeseburger,17.63,3.19,8.41,,Coupon-679
99,EtaBetaPi_07,Atlanta,Jessica Maxwell,23:32.1,Mallory Patrick,56:40.8,Ricardo Kirk,34:48.3,Dylan Scott,LOY-8675,suttonjonathan@example.org,505.835.4649x3657,38:27.0,Credit Card,,Inhouse,,Yes,Elizabeth Bennett,,108.73,"Hot Dog, Mozzarella Sticks",4.69,6.37,2.54,,
100,EtaBetaPi_24,Austin,Kara Sanchez,41:08.7,Kara Sanchez,03:11.5,Ellen Morgan,29:22.9,Abigail Flores,LOY-9130,crossangela@example.net,(580)214-9514x486,32:29.0,Digital Wallet,,Drive Through,,Yes,Donna Smith,,369.84,"Coke, Ice Cream, Pizza, Smoothie",6.53,2.03,14.05,Free Fries with Burger,
101,EtaBetaPi_24,Nashville,Samuel Parker,26:29.7,Kimberly Thompson,49:22.4,Bryan Sanders,12:12.1,Robert Young,LOY-1379,terri25@example.com,(355)907-5187x60752,55:47.9,Cash,,Uber Eats,,No,Nicole Chavez,,439.05,"Mozzarella Sticks, Coke, Smoothie",15.66,1.82,15.97,Free Fries with Burger,Coupon-644
102,EtaBetaPi_15,Charlotte,Nathan Hernandez,11:47.1,Brittany Smith,22:20.4,Sydney Henderson,15:57.5,Mary Johnson,LOY-4778,terri25@example.com,001-201-924-4899x817,01:38.7,Cash,,Online,,Yes,Ashley Lynch,,380.36,"Pizza, Fish Sandwich, Taco",29.52,16.63,11.81,Family Pack Offer,
103,EtaBetaPi_HQ,Austin,Kelly Perkins,25:36.8,Elijah Bailey,03:33.0,Sydney Henderson,55:41.9,Greg Sellers,,martinezchristine@example.com,001-655-566-7824,05:39.8,Credit Card,,Online,,No,Sue Gillespie,,268.98,"Ice Cream, Chicken Nuggets, Onion Rings",18.24,2.82,2.96,Family Pack Offer,
104,EtaBetaPi_13,Chicago,Kara Sanchez,48:47.8,Samuel Parker,47:32.9,Mr. Steven Hodges,03:58.2,Lori Atkinson,LOY-1835,laura13@example.com,(580)214-9514x486,12:13.9,Credit Card,**** **** **** 2679,Drive Through,8953,No,Dale Sims,49:48.0,219.79,"Coffee, Cheeseburger",37.97,5.87,11.06,Buy 1 Get 1 Free,
105,EtaBetaPi_04,Charlotte,Tammie Murphy,46:55.1,Ricardo Kirk,55:26.6,Jonathan Smith,09:43.9,Cindy Smith,LOY-2440,susanbenson@example.com,350.474.8770x101,53:05.0,Cash,,Uber Eats,07ZM6,Yes,Paul King,,343.75,"Coffee, Pizza, Pasta, Ice Cream",42.85,12.66,17.05,Buy 1 Get 1 Free,Coupon-802
106,EtaBetaPi_10,Seattle,Bobby Tucker,33:17.0,Lisa Murphy,36:39.5,Mallory Patrick,19:22.5,Tyler Petersen,LOY-6241,barbarawoodard@example.org,001-419-428-7548x096,10:48.9,Digital Wallet,**** **** **** 8902,Online,,No,Donna Smith,,389.6,Chicken Nuggets,11.06,17.8,16.73,Buy 1 Get 1 Free,
107,EtaBetaPi_21,Denver,Margaret Fisher,48:45.9,Tammie Murphy,01:16.7,Bobby Tucker,43:47.1,Mark Moody,LOY-5163,wwilliams@example.net,+1-315-263-8947x7793,24:32.4,Digital Wallet,**** **** **** 9892,Drive Through,102 ZKX,Yes,Eric Nelson,44:19.1,25.68,"Coke, Smoothie, Salad",21.02,13.71,1.28,Free Fries with Burger,Coupon-619
108,EtaBetaPi_25,Dallas,Ashley Lynch,40:07.0,Kimberly Thompson,25:49.1,Lisa Murphy,59:14.8,Cynthia Aguirre,LOY-7456,daltonmario@example.com,308-816-6001x144,39:04.9,Cash,**** **** **** 6274,Inhouse,,Yes,Alicia Dixon,,338.58,Pasta,4.03,15.68,4.59,Buy 1 Get 1 Free,
109,EtaBetaPi_04,Philadelphia,Randy Schmidt,36:50.2,Michael Johnson,28:22.4,Leah Gonzales,50:35.3,Joshua Watson,LOY-7724,sally25@example.org,223.220.8427x89515,52:47.3,Credit Card,**** **** **** 5593,Inhouse,ZVN 213,No,Donna Smith,,190,Pasta,49.17,5.37,16.36,Free Fries with Burger,Coupon-263
110,EtaBetaPi_03,San Francisco,Brittany Smith,20:14.0,Sydney Henderson,00:53.1,Andrea Vasquez,21:47.8,Christopher Koch,LOY-6650,susanbenson@example.com,522.709.1524x4978,19:35.6,Digital Wallet,**** **** **** 4194,Inhouse,,No,Michael Johnson,,251.21,"Taco, Burrito",29.72,11.23,19.96,,
111,EtaBetaPi_08,San Diego,Joshua Fitzpatrick,36:24.1,Holly Gordon,35:17.3,Samuel Parker,19:20.4,Timothy Brooks,LOY-4125,martinezchristine@example.com,332.478.9568x866,14:05.5,Credit Card,**** **** **** 4041,Online,LMZ 301,Yes,Sean Wilson DDS,32:04.4,95.25,"Mozzarella Sticks, Onion Rings",11.46,9.14,28.56,Free Fries with Burger,
112,EtaBetaPi_29,Austin,Nicole Chavez,52:51.9,Holly Gordon,40:23.5,Brittany Smith,26:12.5,Nicole Thomas,LOY-7114,icook@example.com,+1-249-860-1527x5720,03:32.4,Digital Wallet,**** **** **** 3311,Online,298-RVFB,Yes,Ricardo Kirk,,122.74,"Mozzarella Sticks, Fries, Chicken Sandwich, Cheeseburger",6.35,3.95,0.24,,
113,EtaBetaPi_16,Philadelphia,Ricardo Kirk,25:20.0,Benjamin Gardner,17:10.7,Paul King,38:50.9,David Hernandez,LOY-6859,jennifer72@example.net,335-891-4929x8070,34:41.9,Cash,,Uber Eats,318 GLX,No,Holly Gordon,47:51.6,472.4,Mozzarella Sticks,11.42,3.91,10.55,20% Off,Coupon-830
114,EtaBetaPi_05,Miami,Mr. Steven Hodges,31:51.1,Christopher Sanchez,50:36.4,Donna Smith,36:15.8,Virginia Petersen,LOY-4167,sally25@example.org,747.987.7025x0969,34:18.3,Cash,,Inhouse,,Yes,Ellen Morgan,55:05.8,483.02,Burrito,37.92,11.45,28.45,20% Off,
115,EtaBetaPi_07,Columbus,Sue Gillespie,21:03.8,Ricardo Kirk,44:32.5,Andrea Vasquez,53:59.0,Jenny Harvey,LOY-4935,crossangela@example.net,001-536-963-2500x5101,35:21.8,Credit Card,,Uber Eats,4-F4184,Yes,Elijah Bailey,36:18.9,228.26,"Fish Sandwich, Ice Cream, Coke, Onion Rings",37.26,5.48,24.97,20% Off,Coupon-502
116,EtaBetaPi_26,Seattle,Nicole Chavez,03:39.3,Donna Smith,23:41.9,Leah Gonzales,41:07.3,Michele Wiggins,LOY-4634,jacksonsamantha@example.org,323.797.9513,36:23.3,Digital Wallet,**** **** **** 6517,Uber Eats,,Yes,Danielle Luna,36:26.6,71.2,Coke,23.31,13.32,29.24,20% Off,
117,EtaBetaPi_14,Boston,Ellen Morgan,12:03.2,Jennifer Oliver,27:38.8,Ricardo Kirk,22:58.0,Robert Gallegos,LOY-2676,hannah01@example.net,+1-426-561-4217x927,26:41.2,Credit Card,,Inhouse,,No,Lisa Murphy,,358.89,"Hot Dog, Salad, Pasta",48.01,13.03,11.86,Free Fries with Burger,
118,EtaBetaPi_03,Philadelphia,Destiny Barrett,53:11.6,Elizabeth Bennett,22:01.8,Eric Nelson,26:36.5,Mark Moody,LOY-4216,greenmichael@example.org,621.438.5788x3490,05:56.2,Credit Card,**** **** **** 6143,Uber Eats,,Yes,Donna Smith,19:49.3,61.19,"Milkshake, Chicken Sandwich, Pizza",8.44,9.93,23.21,20% Off,Coupon-147
119,EtaBetaPi_26,Las Vegas,Jeffery Luna,02:29.2,Jonathan Smith,54:48.5,Jeffery Luna,05:18.8,Laura Zhang,LOY-1770,aporter@example.org,505.835.4649x3657,51:36.0,Digital Wallet,**** **** **** 6650,Inhouse,,Yes,Mr. Steven Hodges,,238.59,"Milkshake, Veggie Burger, Coke, Pepsi",1.01,12.13,16.02,20% Off,
120,EtaBetaPi_26,Las Vegas,Seth Pope,00:35.1,Jonathan Smith,07:43.8,Sean Wilson DDS,47:10.9,Albert Smith,LOY-3314,scottkatherine@example.net,375.296.4822x305,47:19.2,Digital Wallet,**** **** **** 7775,Uber Eats,,No,Kara Sanchez,44:00.9,330.57,"Hot Dog, Burrito",16.3,16.33,4.33,Free Fries with Burger,Coupon-908
121,EtaBetaPi_09,Columbus,Nicole Chavez,04:54.1,Sydney Henderson,51:41.0,Joshua Fitzpatrick,08:48.1,William Lee,LOY-4143,barkerjoshua@example.net,880-688-2982,19:16.7,Credit Card,**** **** **** 1573,Uber Eats,6753,Yes,Mr. Steven Hodges,,397.27,Chicken Sandwich,29.58,4.23,20.34,Free Fries with Burger,
122,EtaBetaPi_04,Philadelphia,Christopher Sanchez,24:54.0,Andrea Vasquez,07:35.8,Jack Swanson,09:31.2,Mr. Darrell Daniel,LOY-3152,martinezchristine@example.com,(566)936-1415,10:11.5,Credit Card,**** **** **** 7644,Uber Eats,2-M5606,Yes,Ricardo Kirk,16:40.9,53.7,"Taco, Pizza, Fish Sandwich",24.95,19.46,14.54,20% Off,Coupon-733
123,EtaBetaPi_13,Detroit,Cristina Duke,43:06.2,Kristin Lester,34:53.0,Seth Pope,48:21.8,Cindy Nichols,LOY-9846,smurphy@example.org,001-536-963-2500x5101,39:20.2,Credit Card,**** **** **** 4796,Uber Eats,524 HWU,Yes,Jack Swanson,14:18.2,487.91,Cheeseburger,1.78,6.42,16.88,Free Fries with Burger,Coupon-379
124,EtaBetaPi_15,Los Angeles,Joshua Fitzpatrick,57:07.8,Kara Sanchez,30:15.8,Jeffery Luna,19:07.3,Nicole Thomas,LOY-7530,kmyers@example.net,272-565-7462,19:41.4,Credit Card,**** **** **** 4104,Drive Through,,No,Margaret Fisher,48:12.8,130.08,"Coffee, Onion Rings",4.3,16.3,17.57,Family Pack Offer,
125,EtaBetaPi_06,Boston,Deanna Wood,26:03.8,Bobby Tucker,03:42.5,Kara Sanchez,13:33.8,Cassandra Perez,LOY-6087,pricecarla@example.com,001-225-527-2622x26265,27:27.7,Cash,,Drive Through,,No,Donna Smith,24:08.8,462.1,"Cheeseburger, Burrito, Onion Rings, Coffee",45.6,18.93,27.77,20% Off,Coupon-369
126,EtaBetaPi_14,Indianapolis,Danielle Luna,40:00.5,Lisa Murphy,28:21.6,Kimberly Thompson,38:01.2,Andrew Mitchell,LOY-1339,juliedominguez@example.com,636-753-6423x0138,24:01.1,Credit Card,**** **** **** 7122,Drive Through,,No,Sean Wilson DDS,,494.87,"Veggie Burger, Fries, Coke",28.24,7.01,18.77,Buy 1 Get 1 Free,Coupon-410
127,EtaBetaPi_18,Miami,Brittany Smith,47:39.9,Joshua Norton,24:58.0,Paul King,50:35.7,Eric Torres,LOY-4320,smithkim@example.net,001-477-429-5327x4266,48:10.6,Cash,,Online,,Yes,Paul King,,186.01,"Mozzarella Sticks, Burrito, Coke",32.57,15.33,23.15,,
128,EtaBetaPi_14,San Diego,Cristina Duke,58:07.1,Tammie Murphy,33:41.1,Sue Gillespie,13:20.7,Andrew Mitchell,LOY-8760,jessicamitchell@example.org,(787)801-4484x1612,07:57.2,Cash,**** **** **** 1908,Online,,Yes,Leah Gonzales,36:18.1,49.31,"Onion Rings, Smoothie, Ice Cream",43.97,7.27,25.93,20% Off,Coupon-408
129,EtaBetaPi_28,Dallas,Tammie Murphy,20:28.7,Ashley Lynch,33:48.3,Andrea Vasquez,26:26.5,Tyler Petersen,LOY-2160,gregory50@example.net,(436)368-2694,41:51.3,Cash,**** **** **** 2022,Uber Eats,LFD 762,No,Destiny Barrett,,377.57,Taco,27.25,11.23,7.69,Free Fries with Burger,
130,EtaBetaPi_14,San Francisco,Sean Wilson DDS,35:33.0,Danielle Luna,19:35.1,Alicia Dixon,37:16.3,David Hernandez,LOY-5451,briancastro@example.org,(436)368-2694,46:02.9,Credit Card,**** **** **** 3678,Uber Eats,89P 130,No,Danielle Luna,,105.48,"Coffee, Pepsi, Mozzarella Sticks, Pasta",43.53,2.68,7.59,20% Off,
131,EtaBetaPi_02,Los Angeles,Sydney Henderson,50:13.1,Benjamin Gardner,22:44.9,Danielle Luna,16:54.5,Mark Moody,LOY-8872,nortonandrea@example.com,001-904-326-8442x6900,37:48.5,Cash,,Online,,Yes,Donna Smith,46:56.0,105.71,"Coke, Salad, Pasta",36.67,18.46,27.44,,
132,EtaBetaPi_16,Phoenix,Jonathan Smith,17:37.1,Jennifer Oliver,41:31.2,Paul King,16:28.1,Bryan Davis,LOY-6742,barkerjoshua@example.net,9178539975,10:38.7,Credit Card,,Inhouse,ZLU 061,Yes,Randy Schmidt,,255.36,"Taco, Milkshake, Pepsi, Coffee",11.64,3.12,15.03,Family Pack Offer,
133,EtaBetaPi_12,Denver,Ashley Lynch,41:06.5,Deanna Wood,48:05.9,Tammie Murphy,12:20.7,Whitney Lewis,LOY-7012,rmarquez@example.com,(583)690-8132,50:19.9,Digital Wallet,**** **** **** 6750,Drive Through,,No,Randy Schmidt,28:21.0,11.06,"Salad, Hot Dog, Pepsi, Pasta",39.52,16.8,26.91,Free Fries with Burger,Coupon-250
134,EtaBetaPi_01,Dallas,Bobby Tucker,30:44.6,Ashley Lynch,36:34.0,Michael Johnson,53:37.7,Robert Young,LOY-1774,manderson@example.net,870-343-9201x96978,19:51.0,Credit Card,,Uber Eats,2GA8230,Yes,Samuel Parker,,33.52,Taco,12.83,16.82,19.96,Family Pack Offer,Coupon-320
135,EtaBetaPi_24,Denver,Destiny Barrett,11:23.8,Jennifer Oliver,06:46.6,Eric Nelson,01:35.5,Brenda Vance,,johnwalker@example.com,450-321-4464,32:22.5,Digital Wallet,**** **** **** 1132,Online,,Yes,Elijah Bailey,,100.72,Smoothie,9.98,19.37,28.9,,Coupon-193
136,EtaBetaPi_29,Chicago,Ellen Morgan,35:49.5,Jonathan Smith,50:47.2,Jonathan Smith,36:13.3,Stephen Brown,LOY-1914,barbaraanderson@example.com,3197126595,11:56.0,Digital Wallet,**** **** **** 2969,Inhouse,6081,Yes,Elijah Bailey,33:29.9,293.07,"Milkshake, Taco, Smoothie",37.34,9.27,13.17,20% Off,Coupon-257
137,EtaBetaPi_03,Houston,Jonathan Smith,25:06.8,Ricardo Kirk,01:12.0,Nathan Hernandez,31:16.3,William Lee,LOY-7904,greenmichael@example.org,(436)368-2694,51:17.8,Digital Wallet,**** **** **** 5176,Drive Through,,Yes,Nicole Chavez,03:50.0,322.81,"Burrito, Veggie Burger, Fries, Hot Dog",29.09,11.68,20.89,,Coupon-359
138,EtaBetaPi_19,Miami,Jessica Maxwell,12:17.1,Brian Obrien,18:49.5,Sue Gillespie,01:43.7,Taylor Norman,LOY-2842,aporter@example.org,-10174,00:34.9,Cash,,Inhouse,LWC 376,No,Lisa Murphy,22:47.3,487.99,"Pizza, Fish Sandwich, Onion Rings, Cheeseburger",47.6,14.04,28.94,Free Fries with Burger,Coupon-109
139,EtaBetaPi_22,Atlanta,Kimberly Thompson,10:10.5,Nicole Chavez,54:43.0,Mallory Patrick,29:12.3,James Day,LOY-6573,oandrade@example.org,001-205-309-1667,08:25.5,Cash,**** **** **** 5178,Inhouse,,Yes,Brittany Smith,,29.46,"Veggie Burger, Coke, Onion Rings",37.06,19.49,26.83,20% Off,Coupon-723
140,EtaBetaPi_09,Portland,Mallory Patrick,40:58.2,Christopher Sanchez,49:57.2,Nicole Chavez,26:54.1,Albert Smith,LOY-4023,kelly41@example.com,560-538-7200x8343,02:29.4,Digital Wallet,**** **** **** 4789,Online,,Yes,Brittany Smith,,415.96,"Mozzarella Sticks, Milkshake, Smoothie",18.51,13.68,5.6,Family Pack Offer,
141,EtaBetaPi_26,Detroit,Jessica Maxwell,02:48.6,Jonathan Smith,32:17.6,Dale Sims,22:29.1,Cindy Smith,,ayalajoshua@example.com,(355)907-5187x60752,26:18.6,Digital Wallet,**** **** **** 8398,Uber Eats,OHG-618,Yes,Nathan Hernandez,09:50.4,117,"Hot Dog, Veggie Burger, Fish Sandwich, Salad",45.75,11.26,19.39,,Coupon-917
142,EtaBetaPi_28,Philadelphia,Bryan Sanders,27:56.1,Jack Swanson,33:47.9,Jessica Maxwell,42:45.8,Jessica Brooks,LOY-4922,hannah01@example.net,+1-671-201-3108x51131,55:37.5,Credit Card,**** **** **** 1258,Inhouse,,Yes,Jonathan Smith,,181.37,"Taco, Milkshake, Fries, Onion Rings",24.64,7.01,22.74,Free Fries with Burger,Coupon-372
143,EtaBetaPi_11,New York,Joshua Norton,45:37.6,Kelly Perkins,39:00.6,Sean Wilson DDS,45:07.7,Michael White,LOY-4059,icook@example.com,409.587.2436x4919,17:45.6,Cash,**** **** **** 9208,Drive Through,EQ5 9261,No,Bobby Tucker,14:52.1,358.31,"Coffee, Ice Cream",45.19,17.65,27.12,20% Off,
144,EtaBetaPi_25,Chicago,Lisa Murphy,44:36.6,Brian Obrien,45:07.5,Brian Obrien,55:48.2,Robert Young,,kennethkim@example.org,001-201-924-4899x817,46:14.4,Digital Wallet,**** **** **** 2384,Uber Eats,VBJ 946,No,Sean Wilson DDS,,459.99,"Smoothie, Ice Cream, Coffee, Pepsi",17.73,2.18,6.4,Free Fries with Burger,
145,EtaBetaPi_03,Atlanta,Jessica Maxwell,56:04.2,Jack Swanson,46:05.4,Donna Smith,13:32.1,Brenda Vance,LOY-4335,hannah01@example.net,001-201-924-4899x817,35:29.8,Digital Wallet,**** **** **** 5572,Uber Eats,,No,Joshua Norton,,429.89,Taco,24.41,2.2,4.14,Free Fries with Burger,Coupon-336
146,EtaBetaPi_25,Seattle,Seth Pope,38:46.2,Bryan Sanders,10:33.8,Mallory Patrick,19:34.4,James Day,LOY-8156,jamesbrown@example.net,001-201-924-4899x817,44:12.0,Credit Card,**** **** **** 8589,Drive Through,969-OFS,Yes,Ricardo Kirk,44:47.7,128.49,"Salad, Pasta, Veggie Burger, Coke",15.32,12.47,19.52,,
147,EtaBetaPi_20,Houston,Jennifer Oliver,08:52.8,Jennifer Oliver,10:13.8,Ashley Lynch,06:20.6,Whitney Lewis,LOY-7798,jennifer72@example.net,001-435-519-3262x994,09:53.9,Credit Card,**** **** **** 5990,Inhouse,,No,Dale Sims,36:24.4,466.32,"Burrito, Cheeseburger, Chicken Nuggets",40.82,16.87,12.42,Buy 1 Get 1 Free,Coupon-550
148,EtaBetaPi_16,Nashville,Brittany Smith,20:32.5,Jennifer Oliver,23:42.9,Leah Gonzales,57:40.6,Sean Griffith,LOY-4714,rita57@example.org,488.954.0490x57296,43:50.1,Credit Card,**** **** **** 5228,Inhouse,309Z,No,Joshua Norton,50:48.0,181.99,Chicken Nuggets,33.04,4.77,15.68,Buy 1 Get 1 Free,Coupon-973
